"Story","Title","Result","Date","Stability","Duration (s)"
"counselor","As Admin, I have be able to delete counselor data","SUCCESS","2023-06-26T14:35:31.385+07:00[Asia/Bangkok]","0.0","9.89"
"counselor","As Admin, I have be able to cancel add counselor","SUCCESS","2023-06-26T14:37:29.938+07:00[Asia/Bangkok]","0.0","8.99"
"counselor","As Admin, I have be able to sort counselor","SUCCESS","2023-06-26T14:37:42.36+07:00[Asia/Bangkok]","0.0","8.72"
"counselor","As Admin, I have be able to search","SUCCESS","2023-06-26T14:37:55.668+07:00[Asia/Bangkok]","0.0","8.42"
"login","As Admin, I Login With Valid Credential","SUCCESS","2023-06-26T14:39:38.684+07:00[Asia/Bangkok]","0.0","7.24"
"login","As a admin i failed login with invalid username","SUCCESS","2023-06-26T14:39:46.896+07:00[Asia/Bangkok]","0.0","7.18"
"login","As a admin i failed login with invalid password","SUCCESS","2023-06-26T14:39:54.782+07:00[Asia/Bangkok]","0.0","9.08"
"login","As a admin i failed login with empty username","SUCCESS","2023-06-26T14:40:05.078+07:00[Asia/Bangkok]","0.0","8.06"
"login","As a admin i failed login with empty password","SUCCESS","2023-06-26T14:40:14.179+07:00[Asia/Bangkok]","0.0","7.75"
"login","As a admin i failed login with empty username and password","SUCCESS","2023-06-26T14:40:23.019+07:00[Asia/Bangkok]","0.0","8.57"
"logout","As a admin i can cancel logout","SUCCESS","2023-06-26T14:40:46.796+07:00[Asia/Bangkok]","0.0","9.02"
"Report","As Admin, I can see report sort by newest","SUCCESS","2023-06-26T14:40:59.403+07:00[Asia/Bangkok]","0.0","8.49"
"Report","As Admin, I can search report","SUCCESS","2023-06-26T14:41:26.161+07:00[Asia/Bangkok]","0.0","8.63"
"User","As Admin, I cancel delete user","SUCCESS","2023-06-26T14:42:04.018+07:00[Asia/Bangkok]","0.0","9.66"
"User","As Admin, I can delete user","SUCCESS","2023-06-26T14:42:17.182+07:00[Asia/Bangkok]","0.0","9.49"
"User","As Admin, I can search user","SUCCESS","2023-06-26T14:42:30.109+07:00[Asia/Bangkok]","0.0","9.87"
