"Story","Title","Result","Date","Stability","Duration (s)"
"counseling","As Admin, I have be able to view counseling schedule","SUCCESS","2023-06-26T14:31:29.817+07:00[Asia/Bangkok]","0.0","11.63"
"counseling","As Admin, I have be able to close view counseling schedule","SUCCESS","2023-06-26T14:31:42.334+07:00[Asia/Bangkok]","0.0","11.79"
"counseling","As Admin, I have be able to create counseling schedule","SUCCESS","2023-06-26T14:31:54.932+07:00[Asia/Bangkok]","0.0","14.44"
"counseling","As Admin, I have be able to cancel create counseling schedule","SUCCESS","2023-06-26T14:32:12.174+07:00[Asia/Bangkok]","0.0","15.73"
"counseling","As Admin, I have be able to update counseling schedule","SUCCESS","2023-06-26T14:32:30.662+07:00[Asia/Bangkok]","0.0","13.39"
"counseling","As Admin, I have be able to cancel update counseling schedule","SUCCESS","2023-06-26T14:32:45.563+07:00[Asia/Bangkok]","0.0","11.13"
"counseling","As Admin, I have be able to delete counseling schedule","SUCCESS","2023-06-26T14:32:57.442+07:00[Asia/Bangkok]","0.0","12.11"
"counseling","As Admin, I have be able to cancel delete counseling schedule","SUCCESS","2023-06-26T14:33:10.568+07:00[Asia/Bangkok]","0.0","11.52"
"counseling","As Admin, I have be able to sort counseling schedule","SUCCESS","2023-06-26T14:33:23.462+07:00[Asia/Bangkok]","0.0","10.51"
"counseling","As Admin, I have be able to search counseling schedule","SUCCESS","2023-06-26T14:33:34.718+07:00[Asia/Bangkok]","0.0","11.6"
"counseling","As Admin, I have be able to view counseling transaction","SUCCESS","2023-06-26T14:33:47.05+07:00[Asia/Bangkok]","0.0","12.09"
"counseling","As Admin, I have be able to search counseling transaction","SUCCESS","2023-06-26T14:34:02.414+07:00[Asia/Bangkok]","0.0","10.36"
"counseling","As Admin, I have be able to sort counseling transaction","SUCCESS","2023-06-26T14:34:13.706+07:00[Asia/Bangkok]","0.0","11.58"
"counseling","As Admin, I have be able to update status counseling transaction","SUCCESS","2023-06-26T14:34:26.221+07:00[Asia/Bangkok]","0.0","12.0"
"counseling","As Admin, I have be able to cancel update status counseling transaction","SUCCESS","2023-06-26T14:34:41.926+07:00[Asia/Bangkok]","0.0","10.6"
"counseling","As Admin, I have be able to send link","SUCCESS","2023-06-26T14:34:53.258+07:00[Asia/Bangkok]","0.0","12.15"
