"Story","Title","Result","Date","Stability","Duration (s)"
"Career Information","As Admin, I can see career sort by newest","SUCCESS","2023-06-26T14:29:51.472+07:00[Asia/Bangkok]","0.0","34.04"
"Career Information","As Admin, I can see career sort by oldest","SUCCESS","2023-06-26T14:30:29.977+07:00[Asia/Bangkok]","0.0","11.41"
"Career Information","As Admin, I can search career information","SUCCESS","2023-06-26T14:30:45.208+07:00[Asia/Bangkok]","0.0","13.25"
"Career Information","As Admin, I can cancel delete career information","SUCCESS","2023-06-26T14:31:00.049+07:00[Asia/Bangkok]","0.0","12.81"
"Career Information","As Admin, I can delete career information","SUCCESS","2023-06-26T14:31:14.014+07:00[Asia/Bangkok]","0.0","14.47"
"counseling","As Admin, I have be able to view counseling schedule","SUCCESS","2023-06-26T14:31:29.817+07:00[Asia/Bangkok]","0.0","11.63"
"counseling","As Admin, I have be able to close view counseling schedule","SUCCESS","2023-06-26T14:31:42.334+07:00[Asia/Bangkok]","0.0","11.79"
"counseling","As Admin, I have be able to create counseling schedule","SUCCESS","2023-06-26T14:31:54.932+07:00[Asia/Bangkok]","0.0","14.44"
"counseling","As Admin, I have be able to cancel create counseling schedule","SUCCESS","2023-06-26T14:32:12.174+07:00[Asia/Bangkok]","0.0","15.73"
"counseling","As Admin, I have be able to update counseling schedule","SUCCESS","2023-06-26T14:32:30.662+07:00[Asia/Bangkok]","0.0","13.39"
"counseling","As Admin, I have be able to cancel update counseling schedule","SUCCESS","2023-06-26T14:32:45.563+07:00[Asia/Bangkok]","0.0","11.13"
"counseling","As Admin, I have be able to delete counseling schedule","SUCCESS","2023-06-26T14:32:57.442+07:00[Asia/Bangkok]","0.0","12.11"
"counseling","As Admin, I have be able to cancel delete counseling schedule","SUCCESS","2023-06-26T14:33:10.568+07:00[Asia/Bangkok]","0.0","11.52"
"counseling","As Admin, I have be able to sort counseling schedule","SUCCESS","2023-06-26T14:33:23.462+07:00[Asia/Bangkok]","0.0","10.51"
"counseling","As Admin, I have be able to search counseling schedule","SUCCESS","2023-06-26T14:33:34.718+07:00[Asia/Bangkok]","0.0","11.6"
"counseling","As Admin, I have be able to view counseling transaction","SUCCESS","2023-06-26T14:33:47.05+07:00[Asia/Bangkok]","0.0","12.09"
"counseling","As Admin, I have be able to search counseling transaction","SUCCESS","2023-06-26T14:34:02.414+07:00[Asia/Bangkok]","0.0","10.36"
"counseling","As Admin, I have be able to sort counseling transaction","SUCCESS","2023-06-26T14:34:13.706+07:00[Asia/Bangkok]","0.0","11.58"
"counseling","As Admin, I have be able to update status counseling transaction","SUCCESS","2023-06-26T14:34:26.221+07:00[Asia/Bangkok]","0.0","12.0"
"counseling","As Admin, I have be able to cancel update status counseling transaction","SUCCESS","2023-06-26T14:34:41.926+07:00[Asia/Bangkok]","0.0","10.6"
"counseling","As Admin, I have be able to send link","SUCCESS","2023-06-26T14:34:53.258+07:00[Asia/Bangkok]","0.0","12.15"
"counselor","As Admin, I have be able to view counselor data","SUCCESS","2023-06-26T14:35:06.577+07:00[Asia/Bangkok]","0.0","11.54"
"counselor","As Admin, I have be able to cancel view counselor data","SUCCESS","2023-06-26T14:35:19.866+07:00[Asia/Bangkok]","0.0","10.19"
"counselor","As Admin, I have be able to delete counselor data","SUCCESS","2023-06-26T14:35:31.385+07:00[Asia/Bangkok]","0.0","9.89"
"counselor","As Admin, I have be able to cancel delete counselor data","SUCCESS","2023-06-26T14:35:42.015+07:00[Asia/Bangkok]","0.0","10.97"
"counselor","As Admin, I have be able to update counselor data","SUCCESS","2023-06-26T14:35:54.771+07:00[Asia/Bangkok]","0.0","13.12"
"counselor","As Admin, I fail to add new counselor with empty name","SUCCESS","2023-06-26T14:36:11.172+07:00[Asia/Bangkok]","0.0","12.39"
"counselor","As Admin, I fail to add new counselor with empty email","SUCCESS","2023-06-26T14:36:27.564+07:00[Asia/Bangkok]","0.0","11.83"
"counselor","As Admin, I fail to add new counselor with empty username","SUCCESS","2023-06-26T14:36:42.692+07:00[Asia/Bangkok]","0.0","12.7"
"counselor","As Admin, I fail to add new counselor with empty description","SUCCESS","2023-06-26T14:36:56.151+07:00[Asia/Bangkok]","0.0","14.81"
"counselor","As Admin, I fail to add new counselor with empty counseling price","SUCCESS","2023-06-26T14:37:14.454+07:00[Asia/Bangkok]","0.0","11.55"
"counselor","As Admin, I have be able to cancel add counselor","SUCCESS","2023-06-26T14:37:29.938+07:00[Asia/Bangkok]","0.0","8.99"
"counselor","As Admin, I have be able to sort counselor","SUCCESS","2023-06-26T14:37:42.36+07:00[Asia/Bangkok]","0.0","8.72"
"counselor","As Admin, I have be able to search","SUCCESS","2023-06-26T14:37:55.668+07:00[Asia/Bangkok]","0.0","8.42"
"Forum Discussion","As Admin, I can see forum sort by newest","SUCCESS","2023-06-26T14:38:05.698+07:00[Asia/Bangkok]","0.0","12.98"
"Forum Discussion","As Admin, I can see forum sort by oldest","SUCCESS","2023-06-26T14:38:22.686+07:00[Asia/Bangkok]","0.0","13.57"
"Forum Discussion","As Admin, I can search forum","SUCCESS","2023-06-26T14:38:40.078+07:00[Asia/Bangkok]","0.0","11.59"
"Forum Discussion","As Admin, I can view forum link","SUCCESS","2023-06-26T14:38:52.633+07:00[Asia/Bangkok]","0.0","11.83"
"Forum Discussion","As Admin, I can delete forum discussion","SUCCESS","2023-06-26T14:39:08+07:00[Asia/Bangkok]","0.0","12.97"
"Forum Discussion","As Admin, I can cancel delete forum discussion","SUCCESS","2023-06-26T14:39:24.541+07:00[Asia/Bangkok]","0.0","10.72"
"login","As Admin, I Login With Valid Credential","SUCCESS","2023-06-26T14:39:38.684+07:00[Asia/Bangkok]","0.0","7.24"
"login","As a admin i failed login with invalid username","SUCCESS","2023-06-26T14:39:46.896+07:00[Asia/Bangkok]","0.0","7.18"
"login","As a admin i failed login with invalid password","SUCCESS","2023-06-26T14:39:54.782+07:00[Asia/Bangkok]","0.0","9.08"
"login","As a admin i failed login with empty username","SUCCESS","2023-06-26T14:40:05.078+07:00[Asia/Bangkok]","0.0","8.06"
"login","As a admin i failed login with empty password","SUCCESS","2023-06-26T14:40:14.179+07:00[Asia/Bangkok]","0.0","7.75"
"login","As a admin i failed login with empty username and password","SUCCESS","2023-06-26T14:40:23.019+07:00[Asia/Bangkok]","0.0","8.57"
"logout","As a admin i success logout from website","SUCCESS","2023-06-26T14:40:32.86+07:00[Asia/Bangkok]","0.0","10.71"
"logout","As a admin i can cancel logout","SUCCESS","2023-06-26T14:40:46.796+07:00[Asia/Bangkok]","0.0","9.02"
"Report","As Admin, I can see report sort by newest","SUCCESS","2023-06-26T14:40:59.403+07:00[Asia/Bangkok]","0.0","8.49"
"Report","As Admin, I can see report sort by oldest","SUCCESS","2023-06-26T14:41:11.242+07:00[Asia/Bangkok]","0.0","10.14"
"Report","As Admin, I can search report","SUCCESS","2023-06-26T14:41:26.161+07:00[Asia/Bangkok]","0.0","8.63"
"Report","As Admin, I can export file report","SUCCESS","2023-06-26T14:41:36.033+07:00[Asia/Bangkok]","0.0","10.81"
"User","As Admin, I can see user data","SUCCESS","2023-06-26T14:41:50.423+07:00[Asia/Bangkok]","0.0","10.31"
"User","As Admin, I cancel delete user","SUCCESS","2023-06-26T14:42:04.018+07:00[Asia/Bangkok]","0.0","9.66"
"User","As Admin, I can delete user","SUCCESS","2023-06-26T14:42:17.182+07:00[Asia/Bangkok]","0.0","9.49"
"User","As Admin, I can search user","SUCCESS","2023-06-26T14:42:30.109+07:00[Asia/Bangkok]","0.0","9.87"
"User","As Admin, I can filter user sort by newest","PENDING","2023-06-26T14:42:43.755+07:00[Asia/Bangkok]","0.0","8.24"
"User","As Admin, I can filter user sort by oldest","PENDING","2023-06-26T14:42:55.602+07:00[Asia/Bangkok]","0.0","9.14"
